[2026-01-06 17:49:49] [DE] n_iter = 58, time = 0.017 s, [Ackley] best_obj = 1.482571e+01
[2026-01-06 17:49:49] [DE] n_iter = 59, time = 0.018 s, [Ackley] best_obj = 1.482571e+01
[2026-01-06 17:49:49] [DE] n_iter = 60, time = 0.018 s, [Ackley] best_obj = 1.466061e+01
[2026-01-06 17:49:49] [DE] n_iter = 61, time = 0.018 s, [Ackley] best_obj = 1.466061e+01
[2026-01-06 17:49:49] [DE] n_iter = 62, time = 0.018 s, [Ackley] best_obj = 1.398992e+01
[2026-01-06 17:49:49] [DE] n_iter = 63, time = 0.019 s, [Ackley] best_obj = 1.335735e+01
[2026-01-06 17:49:49] [DE] n_iter = 64, time = 0.019 s, [Ackley] best_obj = 1.335735e+01
[2026-01-06 17:49:49] [DE] n_iter = 65, time = 0.019 s, [Ackley] best_obj = 1.335735e+01
[2026-01-06 17:49:49] [DE] n_iter = 66, time = 0.019 s, [Ackley] best_obj = 1.306928e+01
[2026-01-06 17:49:49] [DE] n_iter = 67, time = 0.020 s, [Ackley] best_obj = 1.303242e+01
[2026-01-06 17:49:49] [DE] n_iter = 68, time = 0.020 s, [Ackley] best_obj = 1.144860e+01
[2026-01-06 17:49:49] [DE] n_iter = 69, time = 0.020 s, [Ackley] best_obj = 1.144860e+01
[2026-01-06 17:49:49] [DE] n_iter = 70, time = 0.020 s, [Ackley] best_obj = 1.144860e+01
[2026-01-06 17:49:49] [DE] n_iter = 71, time = 0.020 s, [Ackley] best_obj = 1.144860e+01
[2026-01-06 17:49:49] [DE] n_iter = 72, time = 0.021 s, [Ackley] best_obj = 1.144860e+01
[2026-01-06 17:49:49] [DE] n_iter = 73, time = 0.021 s, [Ackley] best_obj = 1.144860e+01
[2026-01-06 17:49:49] [DE] n_iter = 74, time = 0.021 s, [Ackley] best_obj = 1.144860e+01
[2026-01-06 17:49:49] [DE] n_iter = 75, time = 0.021 s, [Ackley] best_obj = 1.144860e+01
[2026-01-06 17:49:49] [DE] n_iter = 76, time = 0.022 s, [Ackley] best_obj = 1.144860e+01
[2026-01-06 17:49:49] [DE] n_iter = 77, time = 0.022 s, [Ackley] best_obj = 1.144860e+01
[2026-01-06 17:49:49] [DE] n_iter = 78, time = 0.022 s, [Ackley] best_obj = 1.144860e+01
[2026-01-06 17:49:49] [DE] n_iter = 79, time = 0.022 s, [Ackley] best_obj = 1.144860e+01
[2026-01-06 17:49:49] [DE] n_iter = 80, time = 0.022 s, [Ackley] best_obj = 9.759494e+00
[2026-01-06 17:49:49] [DE] n_iter = 81, time = 0.023 s, [Ackley] best_obj = 9.759494e+00
[2026-01-06 17:49:49] [DE] n_iter = 82, time = 0.023 s, [Ackley] best_obj = 9.759494e+00
[2026-01-06 17:49:49] [DE] n_iter = 83, time = 0.023 s, [Ackley] best_obj = 9.759494e+00
[2026-01-06 17:49:49] [DE] n_iter = 84, time = 0.023 s, [Ackley] best_obj = 9.759494e+00
[2026-01-06 17:49:49] [DE] n_iter = 85, time = 0.024 s, [Ackley] best_obj = 9.759494e+00
[2026-01-06 17:49:49] [DE] n_iter = 86, time = 0.024 s, [Ackley] best_obj = 9.759494e+00
[2026-01-06 17:49:49] [DE] n_iter = 87, time = 0.024 s, [Ackley] best_obj = 9.157435e+00
[2026-01-06 17:49:49] [DE] n_iter = 88, time = 0.025 s, [Ackley] best_obj = 9.157435e+00
[2026-01-06 17:49:49] [DE] n_iter = 89, time = 0.025 s, [Ackley] best_obj = 9.157435e+00
[2026-01-06 17:49:49] [DE] n_iter = 90, time = 0.025 s, [Ackley] best_obj = 9.133887e+00
[2026-01-06 17:49:49] [DE] n_iter = 91, time = 0.025 s, [Ackley] best_obj = 9.133887e+00
[2026-01-06 17:49:49] [DE] n_iter = 92, time = 0.025 s, [Ackley] best_obj = 9.133887e+00
[2026-01-06 17:49:49] [DE] n_iter = 93, time = 0.025 s, [Ackley] best_obj = 8.992060e+00
[2026-01-06 17:49:49] [DE] n_iter = 94, time = 0.026 s, [Ackley] best_obj = 8.875171e+00
[2026-01-06 17:49:49] [DE] n_iter = 95, time = 0.026 s, [Ackley] best_obj = 8.875171e+00
[2026-01-06 17:49:49] [DE] n_iter = 96, time = 0.026 s, [Ackley] best_obj = 8.875171e+00
[2026-01-06 17:49:49] [DE] n_iter = 97, time = 0.026 s, [Ackley] best_obj = 8.778196e+00
[2026-01-06 17:49:49] [DE] n_iter = 98, time = 0.026 s, [Ackley] best_obj = 8.778196e+00
[2026-01-06 17:49:49] [DE] n_iter = 99, time = 0.026 s, [Ackley] best_obj = 8.737270e+00
[2026-01-06 17:49:49] [DE] n_iter = 100, time = 0.027 s, [Ackley] best_obj = 8.725052e+00
[2026-01-06 17:49:49] [DE] n_iter = 101, time = 0.027 s, [Ackley] best_obj = 8.453764e+00
[2026-01-06 17:49:49] [DE] n_iter = 102, time = 0.027 s, [Ackley] best_obj = 7.549267e+00
[2026-01-06 17:49:49] [DE] n_iter = 103, time = 0.027 s, [Ackley] best_obj = 7.549267e+00
[2026-01-06 17:49:49] [DE] n_iter = 104, time = 0.027 s, [Ackley] best_obj = 7.549267e+00
[2026-01-06 17:49:49] [DE] n_iter = 105, time = 0.027 s, [Ackley] best_obj = 7.549267e+00
[2026-01-06 17:49:49] [DE] n_iter = 106, time = 0.028 s, [Ackley] best_obj = 7.549267e+00
[2026-01-06 17:49:49] [DE] n_iter = 107, time = 0.028 s, [Ackley] best_obj = 7.549267e+00
[2026-01-06 17:49:49] [DE] n_iter = 108, time = 0.028 s, [Ackley] best_obj = 7.549267e+00
[2026-01-06 17:49:49] [DE] n_iter = 109, time = 0.028 s, [Ackley] best_obj = 6.979935e+00
[2026-01-06 17:49:49] [DE] n_iter = 110, time = 0.028 s, [Ackley] best_obj = 6.979935e+00
[2026-01-06 17:49:49] [DE] n_iter = 111, time = 0.028 s, [Ackley] best_obj = 6.979935e+00
[2026-01-06 17:49:49] [DE] n_iter = 112, time = 0.029 s, [Ackley] best_obj = 6.979935e+00
[2026-01-06 17:49:49] [DE] n_iter = 113, time = 0.029 s, [Ackley] best_obj = 6.979935e+00
[2026-01-06 17:49:49] [DE] n_iter = 114, time = 0.029 s, [Ackley] best_obj = 6.979935e+00
[2026-01-06 17:49:49] [DE] n_iter = 115, time = 0.029 s, [Ackley] best_obj = 6.215206e+00
[2026-01-06 17:49:49] [DE] n_iter = 116, time = 0.029 s, [Ackley] best_obj = 6.215206e+00
[2026-01-06 17:49:49] [DE] n_iter = 117, time = 0.029 s, [Ackley] best_obj = 5.702648e+00
[2026-01-06 17:49:49] [DE] n_iter = 118, time = 0.030 s, [Ackley] best_obj = 5.702648e+00
[2026-01-06 17:49:49] [DE] n_iter = 119, time = 0.030 s, [Ackley] best_obj = 5.702648e+00
[2026-01-06 17:49:49] [DE] n_iter = 120, time = 0.030 s, [Ackley] best_obj = 5.702648e+00
[2026-01-06 17:49:49] [DE] n_iter = 121, time = 0.030 s, [Ackley] best_obj = 5.702648e+00
[2026-01-06 17:49:49] [DE] n_iter = 122, time = 0.030 s, [Ackley] best_obj = 5.702648e+00
[2026-01-06 17:49:49] [DE] n_iter = 123, time = 0.030 s, [Ackley] best_obj = 5.702648e+00
[2026-01-06 17:49:49] [DE] n_iter = 124, time = 0.031 s, [Ackley] best_obj = 5.702648e+00
[2026-01-06 17:49:49] [DE] n_iter = 125, time = 0.031 s, [Ackley] best_obj = 5.702648e+00
[2026-01-06 17:49:49] [DE] n_iter = 126, time = 0.031 s, [Ackley] best_obj = 5.702648e+00
[2026-01-06 17:49:49] [DE] n_iter = 127, time = 0.031 s, [Ackley] best_obj = 5.702648e+00
[2026-01-06 17:49:49] [DE] n_iter = 128, time = 0.031 s, [Ackley] best_obj = 5.702648e+00
